Амурск,42977,amursk
Бикин,17156,bikin
Комсомольск-на-Амуре,263906,komsomolsk-na-amure
Николаевск-на-Амуре,22773,nikolaevsk-na-amure
Советская Гавань,27712,sovetskaya_gavan
Хабаровск,577668,habarovsk
Абаза,17111,abaza
Абакан,165183,abakan
Саяногорск,49889,sayanogorsk
Черногорск,72117,chernogorsk
Белоярский,20283,hanty_mansiyskiy_ao_beloyarskiy
Когалым,58192,kogalym
Лангепас,41675,langepas
Лянтор,38922,lyantor
Мегион,49471,megion
Нефтеюганск,123276,nefteyugansk
Нижневартовск,251860,nizhnevartovsk
Нягань,54903,nyagan
Покачи,17053,pokachi
Пыть-Ях,41453,pyt-yah
Советский,26434,hanty_mansiyskiy_ao_sovetskiy
Сургут,306703,surgut
Урай,39435,uray
Ханты-Мансийск,79410,hanty-mansiysk
Югорск,34066,yugorsk
Аша,31916,asha
Бакал,20953,bakal
Верхний Уфалей,30504,verhniy_ufaley
Еманжелинск,30218,emanzhelinsk
Златоуст,174985,zlatoust
Карталы,29136,kartaly
Касли,16998,kasli
Катав-Ивановск,17640,katav-ivanovsk
Копейск,137604,kopeysk
Коркино,38950,korkino
Куса,18792,kusa
Кыштым,38950,kyshtym
Магнитогорск,408401,magnitogorsk
Миасс,151812,miass
Озерск,82268,chelyabinskaya_oblast_ozersk
Пласт,17344,plast
Сатка,45465,satka
Снежинск,48896,snezhinsk
Трехгорный,33678,trehgornyy
Троицк,78637,chelyabinskaya_oblast_troitsk
Усть-Катав,23586,ust-katav
Чебаркуль,43405,chebarkul
Челябинск,1130273,chelyabinsk
Южноуральск,37890,yuzhnouralsk
Аргун,29528,argun
Грозный,271596,groznyy
Гудермес,45643,gudermes
Курчалой,25672,kurchaloy
Шали,47715,shali
Алатырь,38202,alatyr
Канаш,45608,kanash
Новочебоксарск,124094,novocheboksarsk
Чебоксары,447929,cheboksary
Шумерля,33412,shumerlya
Алдан,21277,aldan
Ленск,24955,lensk
Нерюнгри,61746,neryungri
Якутск,269486,yakutsk
Губкинский,23340,gubkinskiy
Лабытнанги,26948,labytnangi
Муравленко,33401,muravlenko
Надым,46550,nadym
Новый Уренгой,104144,novyy_urengoy
Ноябрьск,110572,noyabrsk
Салехард,42494,salehard
Тарко-Сале,20372,tarko-sale
Гаврилов-Ям,17792,gavrilov-yam
Данилов,15861,danilov
Переславль-Залесский,41923,pereslavl-zalesskiy
Ростов,31791,rostov
Рыбинск,200771,rybinsk
Тутаев,41001,tutaev
Углич,34505,uglich
Ярославль,591486,yaroslavl
